Change,Close,Date,Momentum
0.0,133.899994,2010-01-04,0
0.005899985327855954,134.690002,2010-01-05,1
0.018115687606864782,132.25,2010-01-06,0
0.017013232514177693,130.0,2010-01-07,0
0.027076953846153846,133.520004,2010-01-08,1
0.024041386337885315,130.309998,2010-01-11,0
0.022715064426599162,127.349998,2010-01-12,0
0.013820204378801888,129.110001,2010-01-13,1
0.01363180997884131,127.349998,2010-01-14,0
0.0016489909956653181,127.139999,2010-01-15,0
0.003696728045435912,127.610001,2010-01-19,1
0.01434058448130561,125.779999,2010-01-20,0
0.006678359092688443,126.620003,2010-01-21,1
0.04098880806376217,121.43,2010-01-22,0
0.009223437371325156,120.309998,2010-01-25,0
0.0068988032066960615,119.480003,2010-01-26,0
0.027368571458773763,122.75,2010-01-27,1
0.026720969450101863,126.029999,2010-01-28,1
0.004919423985713139,125.410004,2010-01-29,0
0.05214895774981399,118.870003,2010-02-01,0
0.0063094134859237785,118.120003,2010-02-02,0
0.008296604936591496,119.099998,2010-02-03,1
0.02653229263698218,115.940002,2010-02-04,0
0.012506442772012339,117.389999,2010-02-05,1
0.004770397859872286,116.830002,2010-02-08,0
0.01027130856336038,118.029999,2010-02-09,1
0.005676506021151511,117.360001,2010-02-10,0
0.023261715889044705,120.089996,2010-02-11,1
0.0035805813500068614,119.660004,2010-02-12,0
0.01780047575462221,117.529999,2010-02-16,0
0.010380337023571407,116.309998,2010-02-17,0
0.015217986677293212,118.080002,2010-02-18,1
0.004742589689319193,117.519997,2010-02-19,0
0.0041695457156963375,118.010002,2010-02-22,1
0.006524904558513609,117.239998,2010-02-23,0
0.021153215986919383,119.720001,2010-02-24,1
0.012696324651717971,118.199997,2010-02-25,0
0.0016920897214574755,118.400002,2010-02-26,1
0.05185809878618079,124.540001,2010-03-01,1
0.007949237129040974,125.529999,2010-03-02,1
0.002867840379732652,125.889999,2010-03-03,1
0.020970688863060524,128.529999,2010-03-04,1
0.0029565471326268573,128.910004,2010-03-05,1
0.00930879654615498,130.110001,2010-03-08,1
0.00991464138102656,128.820007,2010-03-09,0
0.013118987021946051,130.509995,2010-03-10,1
0.023523156214970385,133.580002,2010-03-11,1
0.013175587465554937,131.820007,2010-03-12,0
0.005234425454096605,131.130005,2010-03-15,0
0.005033081482761859,131.78999299999998,2010-03-16,1
0.0034145005228125923,131.339996,2010-03-17,0
0.010811626642656436,132.759995,2010-03-18,1
0.018152975977439558,130.350006,2010-03-19,0
0.0009205599883132245,130.470001,2010-03-22,1
0.009274208559253348,129.259995,2010-03-23,0
0.009438357165339688,128.03999299999998,2010-03-24,0
0.05224932338132836,134.729996,2010-03-25,1
0.002449358047928744,135.059998,2010-03-26,1
0.00044422479556072126,135.119995,2010-03-29,1
0.010805262389182436,136.580002,2010-03-30,1
0.005930575400050201,135.770004,2010-03-31,0
0.029167016891300915,131.809998,2010-04-01,0
0.0024276838241057467,131.490005,2010-04-05,0
0.030952869763751327,135.559998,2010-04-06,1
0.005090019254795346,134.869995,2010-04-07,0
0.04515468396065455,140.96000700000005,2010-04-08,1
0.006384853542182638,140.059998,2010-04-09,0
0.008139361818354366,141.199997,2010-04-12,1
0.007365389674902116,140.160004,2010-04-13,0
0.029394940656537208,144.279999,2010-04-14,1
0.01067374556885047,145.820007,2010-04-15,1
0.025030920482674312,142.169998,2010-04-16,0
0.001828761367781714,142.429993,2010-04-19,1
0.012427185894757435,144.199997,2010-04-20,1
0.015464605037405097,146.429993,2010-04-21,1
0.024994899781221852,150.089996,2010-04-22,1
0.04304078334441425,143.630005,2010-04-23,0
0.024228892841715068,147.110001,2010-04-26,1
0.03459993858609253,142.020004,2010-04-27,0
0.018800154378252183,139.350006,2010-04-28,0
0.017079224237708263,141.729996,2010-04-29,1
0.03266767890122563,137.100006,2010-04-30,0
0.0028446315312341333,137.490005,2010-05-03,1
0.05571316256770802,129.830002,2010-05-04,0
0.008472548587036059,130.929993,2010-05-05,1
0.016955519122344852,128.71000700000002,2010-05-06,0
0.028979906744935703,124.980003,2010-05-07,0
0.0504879968677868,131.28999299999998,2010-05-10,1
0.006321776557638804,130.46000700000002,2010-05-11,0
0.02613818654785117,133.869995,2010-05-12,1
0.017927796292216136,131.470001,2010-05-13,0
0.02236253120588318,128.529999,2010-05-14,0
0.0029565471326268573,128.910004,2010-05-17,1
0.02040186888831361,126.279999,2010-05-18,0
