Date,Open,High,Low,Close,Adj Close,Volume
2016-11-01,113.459999,113.769997,110.529999,111.489998,109.557465,43825800
2016-11-02,111.400002,112.349998,111.230003,111.589996,109.655731,28331700
2016-11-03,110.980003,111.459999,109.550003,109.830002,108.480354,26932600
2016-11-04,108.529999,110.250000,108.110001,108.839996,107.502518,30837000
2016-11-07,110.080002,110.510002,109.459999,110.410004,109.053238,32560000
2016-11-08,110.309998,111.720001,109.699997,111.059998,109.695236,24054500
2016-11-09,109.879997,111.320000,108.050003,110.879997,109.517456,59176400
2016-11-10,111.089996,111.089996,105.830002,107.790001,106.465424,57134500
2016-11-11,107.120003,108.870003,106.550003,108.430000,107.097557,34094100
2016-11-14,107.709999,107.809998,104.080002,105.709999,104.410980,51175500
2016-11-15,106.570000,107.680000,106.160004,107.110001,105.793777,32264500
2016-11-16,106.699997,110.230003,106.599998,109.989998,108.638382,58840500
2016-11-17,109.809998,110.349998,108.830002,109.949997,108.598877,27632000
2016-11-18,109.720001,110.540001,109.660004,110.059998,108.707527,28428900
2016-11-21,110.120003,111.989998,110.010002,111.730003,110.357010,29264600
2016-11-22,111.949997,112.419998,111.400002,111.800003,110.426147,25965500
2016-11-23,111.360001,111.510002,110.330002,111.230003,109.863159,27426400
2016-11-25,111.129997,111.870003,110.949997,111.790001,110.416275,11475900
2016-11-28,111.430000,112.470001,111.389999,111.570000,110.198975,27194000
2016-11-29,110.779999,112.029999,110.070000,111.459999,110.090332,28528800
2016-11-30,111.599998,112.199997,110.269997,110.519997,109.161880,36162300
2016-12-01,110.370003,110.940002,109.029999,109.489998,108.144531,37086900
2016-12-02,109.169998,110.089996,108.849998,109.900002,108.549500,26528000
2016-12-05,110.000000,110.029999,108.250000,109.110001,107.769203,34324500
2016-12-06,109.500000,110.360001,109.190002,109.949997,108.598877,26195500
2016-12-07,109.260002,111.190002,109.160004,111.029999,109.665604,29998700
2016-12-08,110.860001,112.430000,110.599998,112.120003,110.742218,27068300
2016-12-09,112.309998,114.699997,112.309998,113.949997,112.549728,34402600
2016-12-12,113.290001,115.000000,112.489998,113.300003,111.907722,26374400
2016-12-13,113.839996,115.919998,113.750000,115.190002,113.774490,43733800
2016-12-14,115.040001,116.199997,114.980003,115.190002,113.774490,34031800
2016-12-15,115.379997,116.730003,115.230003,115.820000,114.396751,46524500
2016-12-16,116.470001,116.500000,115.650002,115.970001,114.544907,44351100
2016-12-19,115.800003,117.379997,115.750000,116.639999,115.206673,27779400
2016-12-20,116.739998,117.500000,116.680000,116.949997,115.512863,21425000
2016-12-21,116.800003,117.400002,116.779999,117.059998,115.621513,23783200
2016-12-22,116.349998,116.510002,115.639999,116.290001,114.860977,26085900
2016-12-23,115.589996,116.519997,115.589996,116.519997,115.088142,14181200
2016-12-27,116.519997,117.800003,116.489998,117.260002,115.819054,18296900
2016-12-28,117.519997,118.019997,116.199997,116.760002,115.325203,20905900
2016-12-29,116.449997,117.110001,116.400002,116.730003,115.295570,15039500
2016-12-30,116.650002,117.199997,115.430000,115.820000,114.396751,30586300
2017-01-03,115.800003,116.330002,114.760002,116.150002,114.722694,28781900
2017-01-04,115.849998,116.510002,115.750000,116.019997,114.594292,21118100
